SL NO,USER ID,TIME,DATE,STATUS,PUNCH
1,413,07:25:29,2024-05-26 07:25:29,15,255
2,1196,07:25:38,2024-05-26 07:25:38,15,255
3,1206,07:25:42,2024-05-26 07:25:42,15,255
4,1207,07:25:48,2024-05-26 07:25:48,15,255
5,1198,07:25:51,2024-05-26 07:25:51,15,255
6,457,07:25:56,2024-05-26 07:25:56,1,255
7,469,07:26:03,2024-05-26 07:26:03,15,255
8,1209,07:26:11,2024-05-26 07:26:11,1,255
9,474,07:26:12,2024-05-26 07:26:12,15,255
10,1117,07:26:17,2024-05-26 07:26:17,15,255
11,381,07:26:28,2024-05-26 07:26:28,15,255
12,1202,07:26:36,2024-05-26 07:26:36,15,255
13,1113,07:26:43,2024-05-26 07:26:43,15,255
14,485,07:26:46,2024-05-26 07:26:46,15,255
15,360,07:26:50,2024-05-26 07:26:50,15,255
16,407,07:26:59,2024-05-26 07:26:59,1,255
17,432,07:27:05,2024-05-26 07:27:05,15,255
18,453,07:27:07,2024-05-26 07:27:07,15,255
19,359,07:27:12,2024-05-26 07:27:12,15,255
20,362,07:27:17,2024-05-26 07:27:17,15,255
21,397,07:27:25,2024-05-26 07:27:25,15,255
22,440,07:27:35,2024-05-26 07:27:35,15,255
23,364,07:27:37,2024-05-26 07:27:37,15,255
24,446,07:27:43,2024-05-26 07:27:43,15,255
25,369,07:27:51,2024-05-26 07:27:51,15,255
26,1204,07:28:01,2024-05-26 07:28:01,1,255
27,472,07:28:02,2024-05-26 07:28:02,15,255
28,379,07:28:07,2024-05-26 07:28:07,15,255
29,454,07:28:12,2024-05-26 07:28:12,15,255
30,435,07:28:15,2024-05-26 07:28:15,15,255
31,396,07:28:21,2024-05-26 07:28:21,15,255
32,365,07:28:29,2024-05-26 07:28:29,15,255
33,357,07:28:37,2024-05-26 07:28:37,15,255
34,404,07:28:42,2024-05-26 07:28:42,15,255
35,399,07:29:17,2024-05-26 07:29:17,15,255
36,393,07:29:25,2024-05-26 07:29:25,15,255
37,470,07:29:28,2024-05-26 07:29:28,15,255
38,463,07:29:36,2024-05-26 07:29:36,15,255
39,433,07:29:44,2024-05-26 07:29:44,15,255
40,1205,07:29:46,2024-05-26 07:29:46,15,255
41,459,07:29:55,2024-05-26 07:29:55,15,255
42,398,07:29:58,2024-05-26 07:29:58,15,255
43,1114,07:30:01,2024-05-26 07:30:01,15,255
44,444,07:30:05,2024-05-26 07:30:05,15,255
45,451,07:30:10,2024-05-26 07:30:10,15,255
46,375,07:30:29,2024-05-26 07:30:29,1,255
47,376,07:30:44,2024-05-26 07:30:44,15,255
48,367,07:30:50,2024-05-26 07:30:50,15,255
49,473,07:30:53,2024-05-26 07:30:53,15,255
50,167,07:31:11,2024-05-26 07:31:11,4,255
51,361,07:31:20,2024-05-26 07:31:20,15,255
52,389,07:32:27,2024-05-26 07:32:27,15,255
53,500,07:33:05,2024-05-26 07:33:05,15,255
54,477,07:34:45,2024-05-26 07:34:45,15,255
55,391,07:35:05,2024-05-26 07:35:05,15,255
56,462,07:40:03,2024-05-26 07:40:03,15,255
57,452,07:43:06,2024-05-26 07:43:06,15,255
58,458,13:53:45,2024-05-26 13:53:45,1,255
59,1125,15:26:03,2024-05-26 15:26:03,15,255
60,1136,16:09:34,2024-05-26 16:09:34,15,255
61,406,16:15:21,2024-05-26 16:15:21,1,255
62,1123,16:29:52,2024-05-26 16:29:52,15,255
63,469,16:30:29,2024-05-26 16:30:29,15,255
64,440,16:30:44,2024-05-26 16:30:44,15,255
65,393,16:30:48,2024-05-26 16:30:48,15,255
66,1201,16:30:50,2024-05-26 16:30:50,15,255
67,407,16:30:56,2024-05-26 16:30:56,15,255
68,1120,16:31:08,2024-05-26 16:31:08,15,255
69,1118,16:31:12,2024-05-26 16:31:12,15,255
70,369,16:31:16,2024-05-26 16:31:16,15,255
71,371,16:31:30,2024-05-26 16:31:30,1,255
72,365,16:31:40,2024-05-26 16:31:40,15,255
73,1207,16:31:54,2024-05-26 16:31:54,15,255
74,359,16:32:02,2024-05-26 16:32:02,15,255
75,401,16:32:11,2024-05-26 16:32:11,4,255
76,1121,16:33:06,2024-05-26 16:33:06,15,255
77,362,16:33:31,2024-05-26 16:33:31,15,255
78,376,16:33:35,2024-05-26 16:33:35,15,255
79,438,16:33:47,2024-05-26 16:33:47,15,255
80,167,16:33:58,2024-05-26 16:33:58,4,255
81,1114,16:34:04,2024-05-26 16:34:04,15,255
82,1117,16:34:08,2024-05-26 16:34:08,15,255
83,392,16:34:28,2024-05-26 16:34:28,15,255
84,446,16:34:54,2024-05-26 16:34:54,15,255
85,500,16:34:59,2024-05-26 16:34:59,15,255
86,453,16:35:02,2024-05-26 16:35:02,15,255
87,357,16:35:36,2024-05-26 16:35:36,15,255
88,230,16:36:14,2024-05-26 16:36:14,1,255
89,478,16:38:53,2024-05-26 16:38:53,15,255
90,496,16:40:58,2024-05-26 16:40:58,15,255
91,391,16:42:06,2024-05-26 16:42:06,15,255
92,375,16:43:26,2024-05-26 16:43:26,1,255
93,408,16:44:03,2024-05-26 16:44:03,15,255
94,398,16:44:42,2024-05-26 16:44:42,15,255
95,1196,16:44:55,2024-05-26 16:44:55,15,255
96,1202,16:47:52,2024-05-26 16:47:52,15,255
97,396,16:48:18,2024-05-26 16:48:18,15,255
98,1113,16:52:45,2024-05-26 16:52:45,15,255
99,488,16:53:26,2024-05-26 16:53:26,15,255
100,463,16:53:40,2024-05-26 16:53:40,15,255
101,1206,16:53:45,2024-05-26 16:53:45,15,255
102,360,16:55:27,2024-05-26 16:55:27,15,255
103,480,16:57:47,2024-05-26 16:57:47,15,255
104,439,17:13:28,2024-05-26 17:13:28,15,255
105,1203,17:19:03,2024-05-26 17:19:03,15,255
106,485,17:26:56,2024-05-26 17:26:56,15,255
107,459,17:27:55,2024-05-26 17:27:55,15,255
108,419,17:34:42,2024-05-26 17:34:42,1,255
109,477,17:37:24,2024-05-26 17:37:24,15,255
110,364,17:43:24,2024-05-26 17:43:24,15,255
111,366,17:44:29,2024-05-26 17:44:29,15,255
112,462,19:14:26,2024-05-26 19:14:26,1,255
113,435,19:19:08,2024-05-26 19:19:08,1,255
114,383,19:33:12,2024-05-26 19:33:12,1,255
115,495,19:48:56,2024-05-26 19:48:56,1,255
116,399,22:04:51,2024-05-26 22:04:51,15,255
117,458,22:05:18,2024-05-26 22:05:18,1,255
118,368,22:30:13,2024-05-26 22:30:13,1,255
119,400,22:30:19,2024-05-26 22:30:19,1,255
120,505,23:52:35,2024-05-26 23:52:35,1,255
121,1121,06:52:19,2024-05-27 06:52:19,1,255
122,1138,07:00:02,2024-05-27 07:00:02,15,255
123,439,07:07:18,2024-05-27 07:07:18,15,255
124,1175,07:07:25,2024-05-27 07:07:25,15,255
125,1123,07:11:30,2024-05-27 07:11:30,15,255
126,1194,07:11:36,2024-05-27 07:11:36,15,255
127,1201,07:14:07,2024-05-27 07:14:07,15,255
128,230,07:14:53,2024-05-27 07:14:53,15,255
129,419,07:16:24,2024-05-27 07:16:24,1,255
130,480,07:17:40,2024-05-27 07:17:40,15,255
131,408,07:18:54,2024-05-27 07:18:54,15,255
132,476,07:19:18,2024-05-27 07:19:18,15,255
133,1198,07:19:36,2024-05-27 07:19:36,15,255
134,366,07:20:00,2024-05-27 07:20:00,15,255
135,1150,07:20:38,2024-05-27 07:20:38,15,255
136,392,07:21:08,2024-05-27 07:21:08,15,255
137,413,07:21:46,2024-05-27 07:21:46,15,255
138,420,07:21:51,2024-05-27 07:21:51,15,255
139,1127,07:22:01,2024-05-27 07:22:01,15,255
140,1202,07:23:07,2024-05-27 07:23:07,15,255
141,374,07:23:11,2024-05-27 07:23:11,15,255
142,1120,07:24:07,2024-05-27 07:24:07,15,255
143,377,07:24:34,2024-05-27 07:24:34,15,255
144,1197,07:25:16,2024-05-27 07:25:16,15,255
145,433,07:26:00,2024-05-27 07:26:00,15,255
146,1117,07:26:10,2024-05-27 07:26:10,15,255
147,379,07:27:22,2024-05-27 07:27:22,15,255
148,371,07:27:38,2024-05-27 07:27:38,1,255
149,1116,07:27:45,2024-05-27 07:27:45,15,255
150,469,07:27:55,2024-05-27 07:27:55,15,255
151,369,07:28:08,2024-05-27 07:28:08,15,255
152,364,07:28:24,2024-05-27 07:28:24,15,255
153,396,07:28:29,2024-05-27 07:28:29,15,255
154,1207,07:28:33,2024-05-27 07:28:33,15,255
155,457,07:28:50,2024-05-27 07:28:50,15,255
156,463,07:29:00,2024-05-27 07:29:00,15,255
157,363,07:29:03,2024-05-27 07:29:03,15,255
158,440,07:29:11,2024-05-27 07:29:11,15,255
159,478,07:29:25,2024-05-27 07:29:25,15,255
160,1209,07:30:10,2024-05-27 07:30:10,1,255
161,473,07:30:14,2024-05-27 07:30:14,15,255
162,395,07:30:15,2024-05-27 07:30:15,1,255
163,167,07:30:26,2024-05-27 07:30:26,4,255
164,381,07:30:54,2024-05-27 07:30:54,15,255
165,470,07:30:58,2024-05-27 07:30:58,15,255
166,393,07:31:04,2024-05-27 07:31:04,15,255
167,365,07:31:07,2024-05-27 07:31:07,15,255
168,357,07:31:15,2024-05-27 07:31:15,15,255
169,432,07:32:10,2024-05-27 07:32:10,15,255
170,401,07:32:14,2024-05-27 07:32:14,4,255
171,1114,07:32:20,2024-05-27 07:32:20,15,255
172,1203,07:32:59,2024-05-27 07:32:59,1,255
173,446,07:33:48,2024-05-27 07:33:48,15,255
174,462,07:34:23,2024-05-27 07:34:23,15,255
175,398,07:35:23,2024-05-27 07:35:23,15,255
176,472,07:35:33,2024-05-27 07:35:33,1,255
177,406,07:35:37,2024-05-27 07:35:37,1,255
178,455,07:35:45,2024-05-27 07:35:45,15,255
179,1206,07:35:49,2024-05-27 07:35:49,15,255
180,391,07:40:11,2024-05-27 07:40:11,15,255
181,458,07:42:54,2024-05-27 07:42:54,15,255
182,1177,07:48:59,2024-05-27 07:48:59,15,255
183,1120,07:55:41,2024-05-27 07:55:41,15,255
184,500,08:01:51,2024-05-27 08:01:51,15,255
185,360,08:36:08,2024-05-27 08:36:08,15,255
186,435,09:11:39,2024-05-27 09:11:39,1,255
187,1113,09:26:55,2024-05-27 09:26:55,15,255
188,304,11:25:40,2024-05-27 11:25:40,15,255
189,404,14:01:08,2024-05-27 14:01:08,15,255
190,406,14:18:19,2024-05-27 14:18:19,15,255
191,1125,15:44:21,2024-05-27 15:44:21,15,255
192,230,16:17:52,2024-05-27 16:17:52,1,255
193,1194,16:20:19,2024-05-27 16:20:19,15,255
194,167,16:28:12,2024-05-27 16:28:12,4,255
195,1114,16:29:42,2024-05-27 16:29:42,15,255
196,1123,16:32:04,2024-05-27 16:32:04,15,255
197,1201,16:32:28,2024-05-27 16:32:28,15,255
198,1117,16:32:45,2024-05-27 16:32:45,15,255
199,478,16:33:01,2024-05-27 16:33:01,15,255
200,469,16:33:11,2024-05-27 16:33:11,15,255
201,393,16:34:15,2024-05-27 16:34:15,15,255
202,1207,16:34:44,2024-05-27 16:34:44,15,255
203,480,16:36:02,2024-05-27 16:36:02,15,255
204,379,16:39:02,2024-05-27 16:39:02,15,255
205,1202,16:43:16,2024-05-27 16:43:16,15,255
206,360,16:57:52,2024-05-27 16:57:52,15,255
207,364,16:58:19,2024-05-27 16:58:19,1,255
208,408,17:05:49,2024-05-27 17:05:49,15,255
209,1125,20:00:14,2024-05-27 20:00:14,15,255
210,1201,06:43:26,2024-05-28 06:43:26,15,255
211,1121,06:50:35,2024-05-28 06:50:35,15,255
212,230,06:59:49,2024-05-28 06:59:49,1,255
213,383,07:01:33,2024-05-28 07:01:33,15,255
214,367,07:01:55,2024-05-28 07:01:55,15,255
215,1123,07:03:32,2024-05-28 07:03:32,15,255
216,480,07:03:43,2024-05-28 07:03:43,15,255
217,454,07:04:56,2024-05-28 07:04:56,15,255
218,1198,07:08:03,2024-05-28 07:08:03,15,255
219,1119,07:10:07,2024-05-28 07:10:07,15,255
220,420,07:11:41,2024-05-28 07:11:41,1,255
221,456,07:11:46,2024-05-28 07:11:46,15,255
222,1120,07:12:29,2024-05-28 07:12:29,15,255
223,440,07:15:35,2024-05-28 07:15:35,15,255
224,366,07:16:56,2024-05-28 07:16:56,15,255
225,1158,07:18:06,2024-05-28 07:18:06,15,255
226,422,07:18:11,2024-05-28 07:18:11,15,255
227,399,07:19:09,2024-05-28 07:19:09,15,255
228,457,07:19:47,2024-05-28 07:19:47,1,255
229,1200,07:19:56,2024-05-28 07:19:56,1,255
230,374,07:21:21,2024-05-28 07:21:21,15,255
231,1205,07:22:19,2024-05-28 07:22:19,15,255
232,377,07:22:38,2024-05-28 07:22:38,15,255
233,1202,07:23:00,2024-05-28 07:23:00,15,255
234,435,07:24:45,2024-05-28 07:24:45,1,255
235,1197,07:25:07,2024-05-28 07:25:07,15,255
236,381,07:25:12,2024-05-28 07:25:12,15,255
237,1207,07:25:23,2024-05-28 07:25:23,15,255
238,395,07:26:04,2024-05-28 07:26:04,1,255
239,438,07:26:40,2024-05-28 07:26:40,15,255
240,1127,07:27:02,2024-05-28 07:27:02,15,255
241,478,07:27:08,2024-05-28 07:27:08,15,255
242,371,07:27:12,2024-05-28 07:27:12,15,255
243,379,07:27:51,2024-05-28 07:27:51,15,255
244,368,07:28:01,2024-05-28 07:28:01,15,255
245,369,07:28:04,2024-05-28 07:28:04,15,255
246,1196,07:28:10,2024-05-28 07:28:10,15,255
247,493,07:28:14,2024-05-28 07:28:14,15,255
248,1117,07:28:18,2024-05-28 07:28:18,15,255
249,496,07:28:40,2024-05-28 07:28:40,1,255
250,363,07:28:56,2024-05-28 07:28:56,15,255
251,413,07:29:01,2024-05-28 07:29:01,15,255
252,462,07:29:02,2024-05-28 07:29:02,15,255
253,364,07:29:05,2024-05-28 07:29:05,15,255
254,469,07:29:06,2024-05-28 07:29:06,15,255
255,396,07:29:11,2024-05-28 07:29:11,15,255
256,464,07:29:13,2024-05-28 07:29:13,15,255
257,1206,07:29:16,2024-05-28 07:29:16,15,255
258,360,07:29:20,2024-05-28 07:29:20,15,255
259,1209,07:29:40,2024-05-28 07:29:40,1,255
260,401,07:30:06,2024-05-28 07:30:06,4,255
261,365,07:30:22,2024-05-28 07:30:22,15,255
262,362,07:30:24,2024-05-28 07:30:24,15,255
263,472,07:30:26,2024-05-28 07:30:26,15,255
264,432,07:30:30,2024-05-28 07:30:30,15,255
265,446,07:30:34,2024-05-28 07:30:34,15,255
266,407,07:30:41,2024-05-28 07:30:41,1,255
267,444,07:30:46,2024-05-28 07:30:46,15,255
268,459,07:30:49,2024-05-28 07:30:49,15,255
269,477,07:30:54,2024-05-28 07:30:54,15,255
270,375,07:31:00,2024-05-28 07:31:00,1,255
271,485,07:31:06,2024-05-28 07:31:06,15,255
272,433,07:31:10,2024-05-28 07:31:10,15,255
273,357,07:31:13,2024-05-28 07:31:13,15,255
274,393,07:31:16,2024-05-28 07:31:16,15,255
275,398,07:31:19,2024-05-28 07:31:19,15,255
276,463,07:31:36,2024-05-28 07:31:36,15,255
277,1113,07:31:44,2024-05-28 07:31:44,15,255
278,453,07:31:57,2024-05-28 07:31:57,15,255
279,361,07:31:59,2024-05-28 07:31:59,15,255
280,376,07:32:04,2024-05-28 07:32:04,15,255
281,392,07:32:17,2024-05-28 07:32:17,15,255
282,455,07:32:28,2024-05-28 07:32:28,15,255
283,1114,07:32:57,2024-05-28 07:32:57,15,255
284,458,07:33:16,2024-05-28 07:33:16,15,255
285,391,07:33:32,2024-05-28 07:33:32,15,255
286,356,07:34:26,2024-05-28 07:34:26,15,255
287,470,07:34:46,2024-05-28 07:34:46,15,255
288,449,07:36:13,2024-05-28 07:36:13,15,255
